BindingDB,Host,Guest,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
3535_12,BDBM36126,BDBM36147,7.2,25.0,0.6480000000000004,59.874400000000016,103.3703396713134,114.39999999999998,286.286,6.0,0.0,2.0,24.0,-2.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-14.74
3542_14,BDBM36126,BDBM50043803,6.9,25.0,2.3143,82.99730000000005,132.88812701513856,95.86,315.325,6.0,3.0,6.0,40.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-13.03
3542_16,BDBM36126,BDBM50043796,6.9,25.0,2.6087000000000007,81.33250000000005,128.09389326294254,75.63000000000002,299.32599999999996,5.0,2.0,6.0,39.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-12.94
3542_29,BDBM36126,BDBM36234,6.9,25.0,1.819,100.60200000000003,161.69433764198013,124.96,386.40400000000017,8.0,4.0,8.0,50.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-12.93
3542_15,BDBM36126,BDBM50043798,6.9,25.0,2.6087000000000007,81.33250000000005,128.09389326294254,75.63000000000002,299.32599999999996,5.0,2.0,6.0,39.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-12.8
3542_13,BDBM36126,BDBM50043797,6.9,25.0,2.3143,82.99730000000005,132.88812701513856,95.86,315.325,6.0,3.0,6.0,40.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-12.8
3542_37,BDBM36126,BDBM36242,6.9,25.0,2.5997000000000003,106.06750000000004,168.83412845164347,95.94,396.44300000000015,7.0,2.0,7.0,53.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-12.21
3531_23,BDBM36126,BDBM36121,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-11.34
3542_3,BDBM36126,BDBM36214,6.9,25.0,1.2514999999999996,99.12800000000004,156.58079241247327,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-11.08
3542_4,BDBM36126,BDBM36215,6.9,25.0,1.2514999999999996,99.12800000000004,156.58079241247327,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-10.94
